# Model run (UTC): 2025-12-02 06:00
time_utc,s1_h,s1_p,s1_dir,s1_dirMin,s2_h,s2_p,s2_dir,s2_dirMin,s3_h,s3_p,s3_dir,s3_dirMin,s4_h,s4_p,s4_dir,s4_dirMin,s5_h,s5_p,s5_dir,s5_dirMin,s6_h,s6_p,s6_dir,s6_dirMin,s1_impact,s2_impact,s3_impact,s4_impact,s5_impact,s6_impact
2025-12-04T22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,293.3,288.8,1.8,7.0,186.7,168.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.733,0.0
2025-12-04T23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,293.1,288.7,1.8,7.0,187.0,169.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.741,0.0
2025-12-05T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,293.0,288.5,1.9,7.0,187.4,170.4,0.1,22.0,306.1,300.8,0.0,0.0,0.0,0.175,0.71,0.068
2025-12-05T01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,292.9,288.4,1.9,7.0,188.0,171.3,0.1,21.0,305.7,300.4,0.0,0.0,0.0,0.161,0.716,0.078
2025-12-05T02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,292.8,288.3,1.9,7.0,188.4,171.9,0.1,21.0,305.0,299.6,0.0,0.0,0.0,0.153,0.71,0.093
2025-12-05T03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,292.6,288.0,1.9,7.0,188.5,172.1,0.2,21.0,304.3,299.0,0.0,0.0,0.0,0.145,0.701,0.11
2025-12-05T04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,292.4,287.8,1.9,7.0,188.5,172.0,0.2,20.0,303.7,298.6,0.0,0.0,0.0,0.147,0.683,0.127
2025-12-05T05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,12.0,292.4,287.8,1.9,8.0,188.1,171.5,0.3,19.0,303.0,297.8,0.0,0.0,0.0,0.139,0.672,0.148
2025-12-05T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.0,292.2,287.6,1.9,8.0,187.2,170.3,0.3,19.0,302.4,297.3,0.0,0.0,0.0,0.13,0.637,0.191
2025-12-05T07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,11.0,291.8,287.3,1.9,8.0,186.1,169.0,0.4,19.0,302.0,296.9,0.0,0.0,0.0,0.122,0.625,0.212
